id_estacion,calle,latitud,longitud,capacidad,estacion_electrica,periodo
230,CE-246 Leibnitz-Thiers,19.434147,-99.179835,15,False,202409
231,CE-479 Lago Muritz-Av.Marina Nacional,19.444433,-99.179664,25,False,202409
232,CE-281 Pitágoras-La Morena,19.398532,-99.157308,31,False,202409
233,CE-480 Lago Iseo-Av. Marina Nacional,19.446073,-99.181654,19,False,202409
234,CE-041 Reforma - Av. de la República,19.43542,-99.150317,33,False,202409
235,CE-226 Wallon-Presidente Masaryk,19.431044265870334,-99.18220639234278,27,False,202409
236,CE-468 Lago Xochimilco-Av. Ejército Nacional,19.437250121513653,-99.1795731336424,33,False,202409
237,CE-256 Gómez Farías-Sadi Carnot,19.437128,-99.158363,23,False,202409
238,CE-119 Turín-Abraham González,19.4268522887659,-99.1556279361248,25,False,202409
239,CE-475 Lago Muritz-Lago Alberto,19.439249,-99.181065,23,False,202409
240,CE-010 Reforma - Ramírez,19.433431,-99.155142,27,False,202409
241,CE-450 Ramos Arizpe- Av México Tenochtitlan,19.43832573320297,-99.15223784747468,31,False,202409
242,CE-555 Ribera de San Cosme - Insurgentes Centro,19.44021597,-99.1561678,35,False,202409
243,CE-270 De la República-Ponciano Arriaga,19.436764,-99.153865,33,False,202409
244,CE-248 Shakespeare-Lafayette,19.43175,-99.177399,23,False,202409
245,CE-476 Lago Como-Laguna de Mayrán,19.442127,-99.184433,35,False,202409
246,CE-174 Joaquín Garcia Icazbalceta-Ignacio Manuel Altamirano,19.441133258345886,-99.16170336308824,31,False,202409
247,CE-237-238 Andrés Bello-George Eliot,19.426744,-99.193986,63,False,202409
249,CE-124 Claudio Bernard-Dr. Liceaga,19.422392,-99.150358,35,False,202409
250,CE-082 Independencia - Marroquí,19.433344,-99.14404,11,False,202409
251,CE-262 República de Cuba-República de Brasil,19.436931,-99.133952,31,False,202409
252,CE-235-236 Campos Elíseos-Moliere,19.429332,-99.202181,55,False,202409
253,CE-104 San Jerónimo-Isabel la Católica,19.427059,-99.137116,11,False,202409
254,CE-136 Álvaro Obregón-Tonalá,19.417715,-99.162729,23,False,202409
255,CE-183 Gabino Barreda-Guillermo Prieto,19.437665,-99.164018,35,False,202409
256,CE-095 20 de Noviembre-Venustiano Carranza,19.430682555945197,-99.1337009892004,19,False,202409
257,CE-036 Puebla - Veracruz,19.41966,-99.17588,31,False,202409
258,CE-063 Nuevo León - Laredo,19.413091238892452,-99.1716201604504,35,False,202409
259,CE-087 Gante - Venustiano Carranza,19.432024,-99.139705,25,False,202409
260,CE-020 Reforma- Río Támesis,19.43086152710901,-99.16025899353372,23,False,202409
261,CE-015 Reforma - Río Mississippi,19.425597,-99.171409,23,False,202409
262,CE-075 Alfonso Reyes - Atlixco,19.408740687234836,-99.17677424853537,33,False,202409
263,CE-017 Reforma - Río Tiber,19.427553,-99.167396,27,False,202409
264,CE-080 Nuevo León - Aguascalientes,19.407239898913133,-99.17207747708744,35,False,202409
265,CE-023 Reforma - Praga,19.42528,-99.171099,36,False,202409
266,CE-085 Rosas Moreno - Sullivan,19.434059327049166,-99.16243817658597,15,False,202409
267,CE-014 Reforma - Río de Plata,19.42454,-99.173247,39,False,202409
268,CE-135 Álvaro Obregón-Morelia,19.419250969141167,-99.15503863246612,38,False,202409
269,CE-089 República de Guatemala - Monte de Piedad,19.434962,-99.133729,11,False,202409
